Instrument type     : LT-Levelogger 37706 
Instrument number   :     38639           
Location            : US Geological Survey
Sample mode         : Fixed
Sample rate         : 60 Minutes

Channel 1           : well 4              
Reference           : 0.00 ft    
Range               : 32.80 ft    
Master level        : -273.69 ft    

Channel 2           : TEMPERATURE         
Reference           : -20.00 DEGREE
Range               : 100.00 DEGREE


No.,Date,Time,Channel 1,Channel 2,
1,2004/04/22,15:00:00,9.66,13.89
2,2004/04/22,16:00:00,9.60,13.87
3,2004/04/22,17:00:00,9.58,13.88
4,2004/04/22,18:00:00,9.52,13.87
5,2004/04/22,19:00:00,9.46,13.85
6,2004/04/22,20:00:00,9.38,13.88
7,2004/04/22,21:00:00,9.35,13.89
8,2004/04/22,22:00:00,9.29,13.88
9,2004/04/22,23:00:00,9.25,13.87
10,2004/04/23,00:00:00,9.20,13.87
11,2004/04/23,01:00:00,9.11,13.89
12,2004/04/23,02:00:00,9.07,13.88
13,2004/04/23,03:00:00,9.00,13.88
14,2004/04/23,04:00:00,9.00,13.87
15,2004/04/23,05:00:00,8.98,13.87
16,2004/04/23,06:00:00,8.97,13.87
17,2004/04/23,07:00:00,8.93,13.88
18,2004/04/23,08:00:00,8.93,13.88
19,2004/04/23,09:00:00,8.86,13.90
20,2004/04/23,10:00:00,8.79,13.87
21,2004/04/23,11:00:00,8.76,13.88
22,2004/04/23,12:00:00,8.69,13.88
23,2004/04/23,13:00:00,8.62,13.89
24,2004/04/23,14:00:00,8.57,13.90
25,2004/04/23,15:00:00,8.50,13.89
26,2004/04/23,16:00:00,8.44,13.87
27,2004/04/23,17:00:00,8.42,13.88
28,2004/04/23,18:00:00,8.44,13.88
29,2004/04/23,19:00:00,8.32,13.89
30,2004/04/23,20:00:00,8.27,13.88
31,2004/04/23,21:00:00,8.28,13.88
32,2004/04/23,22:00:00,8.26,13.88
33,2004/04/23,23:00:00,8.25,13.88
34,2004/04/24,00:00:00,8.15,13.88
35,2004/04/24,01:00:00,8.10,13.88
36,2004/04/24,02:00:00,8.11,13.91
37,2004/04/24,03:00:00,8.11,13.87
38,2004/04/24,04:00:00,8.10,13.88
39,2004/04/24,05:00:00,8.07,13.89
40,2004/04/24,06:00:00,8.05,13.88
41,2004/04/24,07:00:00,8.07,13.87
42,2004/04/24,08:00:00,8.06,13.89
43,2004/04/24,09:00:00,8.06,13.89
44,2004/04/24,10:00:00,8.07,13.87
45,2004/04/24,11:00:00,8.12,13.87
46,2004/04/24,12:00:00,8.15,13.87
47,2004/04/24,13:00:00,8.17,13.88
48,2004/04/24,14:00:00,8.21,13.88
49,2004/04/24,15:00:00,8.26,13.87
