"WaterLOG Logging Module (New data extracted)"
"Serial Number : 01523"
"Extracted     : 19:31:01 05/18/04"
"Logger Started: 18:00:00 11/14/03"
"Logging Rate #1 : 01:00:00, Samples :    0"
"Logging Rate #2 : 01:00:00, Samples :    0"
"Logging Rate #3 : 01:00:00, Samples :    0"
"Logging Rate #4 : 01:00:00, Samples :    0"
"Logging Rate #5 : 01:00:00, Samples :    0"
"Logging Rate #6 : 01:00:00 (final)"
"User Notes"
"      WaterLOG Down Hole Data Sensor/Logger       "
"                      From                        "
"         Design Analysis Associates, Inc.         "
"        Logan, Utah  84321  (801) 753-2212        "
"Delta Log =            0"
"Hyper Log =            0"
"Hyper Divisor =   1"

"Coefficients  y = b0 + b1*x"

"Pressure,    b0 =       291.59 ,b1 =      -2.3067 ,Units = fth20  "
"Temperature, b0 =            1 ,b1 =            1 ,Units = Deg C  "

"Date"       "Time"     "Day" "Pr(fth20  )" "Tmp(Deg C  )" "Batt. Voltage"
"03/03/04" "14:00:00"  063,   256.7696,     13.11,         5.5
"03/03/04" "15:00:00"  063,   256.7774,     13.09,         5.5
"03/03/04" "16:00:00"  063,   256.7786,     13.09,         5.5
"03/03/04" "17:00:00"  063,   256.7766,     13.09,         5.5
"03/03/04" "18:00:00"  063,   256.7711,     13.07,         5.5
"03/03/04" "19:00:00"  063,   256.7574,     13.08,         5.5
"03/03/04" "20:00:00"  063,   256.7353,     13.08,         5.5
"03/03/04" "21:00:00"  063,   256.7067,     13.07,         5.5
"03/03/04" "22:00:00"  063,   256.6774,     13.09,         5.5
"03/03/04" "23:00:00"  063,   256.6488,     13.08,         5.5
"03/04/04" "00:00:00"  064,   256.6198,     13.08,         5.5
"03/04/04" "01:00:00"  064,   256.6061,     13.08,         5.5
"03/04/04" "02:00:00"  064,   256.5905,     13.10,         5.5
"03/04/04" "03:00:00"  064,   256.5702,     13.09,         5.5
"03/04/04" "04:00:00"  064,   256.5526,     13.07,         5.5
"03/04/04" "05:00:00"  064,   256.5334,     13.08,         5.5
"03/04/04" "06:00:00"  064,   256.5117,     13.08,         5.5
"03/04/04" "07:00:00"  064,   256.4895,     13.09,         5.6
"03/04/04" "08:00:00"  064,   256.4667,     13.09,         5.6
"03/04/04" "09:00:00"  064,   256.4500,     13.09,         5.6
"03/04/04" "10:00:00"  064,   256.4328,     13.09,         5.6
"03/04/04" "11:00:00"  064,   256.4142,     13.09,         5.6
"03/04/04" "12:00:00"  064,   256.4000,     13.09,         5.6
"03/04/04" "13:00:00"  064,   256.3811,     13.09,         5.6
"03/04/04" "14:00:00"  064,   256.3557,     13.08,         5.6
"03/04/04" "15:00:00"  064,   256.3308,     13.09,         5.6
"03/04/04" "16:00:00"  064,   256.3021,     13.09,         5.6
"03/04/04" "17:00:00"  064,   256.2743,     13.08,         5.6
"03/04/04" "18:00:00"  064,   256.2402,     13.09,         5.6
"03/04/04" "19:00:00"  064,   256.2039,     13.09,         5.6
"03/04/04" "20:00:00"  064,   256.1542,     13.08,         5.6
"03/04/04" "21:00:00"  064,   256.0977,     13.08,         5.6
"03/04/04" "22:00:00"  064,   256.0374,     13.11,         5.6
"03/04/04" "23:00:00"  064,   255.9612,     13.10,         5.6
"03/05/04" "00:00:00"  065,   255.8936,     13.09,         5.6
